CustomerID,Gender,Age,Location,Tenure_Months,Contract,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SupportCalls_Last6Mo,SatisfactionScore,Referrals,AccountStartDate,ChurnDate,Churned
CUST_000017,Male,58,Rural,39,Two Year,73.74,2875.86,Credit Card (Automatic),No,Yes,Yes,Fiber Optic,No,No,No,No,No,No,2,6.2,0,2021-08-18,,0
CUST_000018,Female,44,Urban,1,Month-to-Month,34.08,,Electronic Check,No,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,5.7,0,2024-10-01,,0
CUST_000019,Male,31,Urban,12,Month-to-Month,57.1,685.2,Electronic Check,Yes,Yes,No,DSL,No,No,No,No,No,No,2,6.1,1,2023-11-06,,0
CUST_000020,Male,70,Urban,42,One Year,55.89,2347.38,Credit Card (Automatic),No,Yes,Yes,DSL,Yes,No,No,No,No,No,0,4.5,0,2021-05-20,,0
CUST_000021,Female,42,Urban,1,One Year,72.11,,Mailed Check,No,No,No Phone Service,DSL,No,No,Yes,No,Yes,Yes,2,,0,2024-10-01,,0
CUST_000022,Male,53,Rural,24,Month-to-Month,72.62,1742.88,Bank Transfer (Automatic),Yes,Yes,No,DSL,No,Yes,Yes,No,No,Yes,0,3.1,2,2022-11-11,,0
CUST_000023,Male,32,Urban,6,Month-to-Month,83.25,499.5,Credit Card (Automatic),No,Yes,Yes,DSL,No,No,Yes,No,Yes,No,2,6.8,0,2024-05-04,,0
CUST_000024,Male,47,Rural,25,Month-to-Month,47.35,1183.75,Bank Transfer (Automatic),No,No,No Phone Service,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,6.6,1,2022-10-12,,0
CUST_000025,Male,46,Rural,35,Month-to-Month,92.89,3251.15,Bank Transfer (Automatic),Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,2,,1,2021-12-16,,0
CUST_000026,Female,18,Urban,21,Month-to-Month,31.25,656.25,Mailed Check,No,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,5.5,0,2023-02-09,,0
CUST_000027,Male,72,Urban,39,Month-to-Month,76.81,2995.59,Bank Transfer (Automatic),No,Yes,No,Fiber Optic,No,No,No,Yes,No,No,2,6.9,2,2021-08-18,,0
CUST_000028,Female,61,Rural,12,Month-to-Month,75.59,907.08,Credit Card (Automatic),Yes,No,No Phone Service,DSL,Yes,Yes,No,No,Yes,No,2,8.8,1,2023-11-06,,0
CUST_000029,Female,36,Urban,48,Two Year,93.04,4465.92,Credit Card (Automatic),No,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,2,,1,2020-11-21,,0
CUST_000030,Male,25,Urban,1,One Year,36.22,,Bank Transfer (Automatic),Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,8.8,0,2024-10-01,,0
CUST_000031,Female,47,Urban,28,Two Year,108.23,3030.44,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,2,6.3,0,2022-07-14,2024-10-07,1
CUST_000032,Male,43,Suburban,27,Month-to-Month,48.04,1297.08,Credit Card (Automatic),Yes,Yes,No,DSL,No,No,No,No,No,No,1,7.5,0,2022-08-13,,0
CUST_000033,Male,47,Suburban,23,Month-to-Month,42.67,981.41,Electronic Check,No,No,No Phone Service,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,3.9,0,2022-12-11,,0
CUST_000034,Female,44,Urban,37,Month-to-Month,58.47,2163.39,Mailed Check,Yes,Yes,No,DSL,No,No,No,No,Yes,No,2,8.6,0,2021-10-17,2024-10-06,1
CUST_000035,Female,49,Urban,61,Two Year,93.54,5705.94,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,4,10.0,1,2019-10-28,,0
CUST_000036,Female,63,Rural,8,Month-to-Month,95.92,767.36,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,0,4.6,1,2024-03-05,2024-10-10,1
CUST_000037,Male,50,Suburban,44,Month-to-Month,82.11,3612.84,Bank Transfer (Automatic),No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,0,6.0,1,2021-03-21,,0
CUST_000038,Male,26,Suburban,49,Month-to-Month,75.84,3716.16,Electronic Check,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,1,8.7,1,2020-10-22,,0
CUST_000039,Female,62,Suburban,1,Month-to-Month,52.66,,Electronic Check,Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,3,4.4,0,2024-10-01,,0
CUST_000040,Male,66,Urban,58,Month-to-Month,43.79,2539.82,Electronic Check,Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,8.2,0,2020-01-26,,0
CUST_000041,Male,85,Suburban,29,Month-to-Month,79.61,2308.69,Mailed Check,No,No,No Phone Service,Fiber Optic,Yes,No,No,Yes,Yes,No,3,4.3,1,2022-06-14,2024-10-03,1
CUST_000042,Female,25,Urban,4,Month-to-Month,89.38,357.52,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,1,5.1,0,2024-07-03,2024-10-24,1
CUST_000043,Male,45,Urban,47,One Year,78.19,3674.93,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,No,3,7.8,1,2020-12-21,,0
CUST_000044,Female,18,Suburban,39,Month-to-Month,58.93,2298.27,Bank Transfer (Automatic),No,Yes,No,DSL,Yes,No,No,No,Yes,No,1,,2,2021-08-18,,0
CUST_000045,Male,50,Urban,18,One Year,100.0,1800.0,Bank Transfer (Automatic),No,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,4,8.2,0,2023-05-10,,0
CUST_000046,Female,33,Rural,12,Month-to-Month,63.46,761.52,Electronic Check,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,4,7.2,1,2023-11-06,,0
CUST_000047,Male,70,Urban,52,Month-to-Month,56.26,2925.52,Bank Transfer (Automatic),No,Yes,Yes,DSL,No,No,No,Yes,No,No,1,,1,2020-07-24,,0
CUST_000048,Female,30,Rural,57,Month-to-Month,75.54,4305.78,Bank Transfer (Automatic),Yes,No,No Phone Service,Fiber Optic,No,No,No,No,No,Yes,0,6.6,1,2020-02-25,,0
CUST_000049,Female,18,Rural,1,Month-to-Month,81.06,,Electronic Check,Yes,No,No Phone Service,Fiber Optic,No,Yes,No,No,Yes,No,1,6.1,2,2024-10-01,2024-10-12,1
CUST_000050,Male,34,Urban,48,Month-to-Month,43.77,2100.96,Mailed Check,Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,,1,2020-11-21,,0
CUST_000051,Female,18,Suburban,39,Month-to-Month,71.96,2806.44,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,No,No,Yes,No,0,6.6,2,2021-08-18,,0
CUST_000052,Female,53,Urban,2,One Year,83.91,167.82,Electronic Check,No,No,No Phone Service,Fiber Optic,No,No,No,No,Yes,No,1,5.5,0,2024-09-01,2024-10-06,1
CUST_000053,Female,18,Rural,50,Month-to-Month,85.69,4284.5,Mailed Check,No,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,1,7.9,0,2020-09-22,,0
CUST_000054,Female,42,Suburban,1,Month-to-Month,73.1,,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,1,6.0,1,2024-10-01,,0
CUST_000055,Female,18,Suburban,54,Month-to-Month,89.84,4851.36,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,2,5.2,0,2020-05-25,2024-10-21,1
CUST_000056,Female,37,Suburban,15,Month-to-Month,91.04,1365.6,Electronic Check,No,Yes,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,1,6.5,1,2023-08-08,2024-10-10,1
CUST_000057,Male,66,Urban,22,Month-to-Month,88.6,1949.2,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,Yes,No,Yes,0,5.0,1,2023-01-10,2024-10-22,1
CUST_000058,Male,47,Urban,4,Two Year,74.62,298.48,Electronic Check,Yes,No,No Phone Service,Fiber Optic,No,No,Yes,No,No,Yes,1,5.1,1,2024-07-03,,0
CUST_000059,Male,29,Urban,38,Month-to-Month,40.99,1557.62,Bank Transfer (Automatic),No,No,No Phone Service,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,8.9,0,2021-09-17,,0
CUST_000060,Male,41,Suburban,50,Month-to-Month,77.72,3886.0,Electronic Check,No,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,2,4.1,2,2020-09-22,,0
CUST_000061,Male,42,Suburban,72,One Year,104.22,7503.84,Credit Card (Automatic),Yes,No,No Phone Service,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,4,9.7,0,2018-12-02,,0
CUST_000062,Male,49,Suburban,30,One Year,78.65,2359.5,Credit Card (Automatic),Yes,No,No Phone Service,Fiber Optic,No,No,No,Yes,No,Yes,2,,0,2022-05-15,,0
CUST_000063,Female,21,Urban,4,Two Year,71.67,286.68,Bank Transfer (Automatic),Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,0,,1,2024-07-03,,0
CUST_000064,Male,50,Suburban,47,Two Year,93.89,4412.83,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,1,7.0,1,2020-12-21,,0
CUST_000065,Male,18,Urban,28,One Year,49.77,1393.56,Credit Card (Automatic),Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,7.2,4,2022-07-14,,0
CUST_000066,Female,32,Rural,24,Two Year,82.02,1968.48,Mailed Check,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,3,6.8,0,2022-11-11,,0
CUST_000067,Male,34,Rural,54,Month-to-Month,66.68,3600.72,Electronic Check,No,Yes,Yes,DSL,No,No,No,No,No,No,4,6.3,2,2020-05-25,2024-10-04,1
CUST_000068,Female,51,Urban,3,One Year,82.63,247.89,Bank Transfer (Automatic),Yes,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,2,5.7,0,2024-08-02,,0
CUST_000069,Male,42,Urban,3,Two Year,56.89,170.67,Electronic Check,No,No,No Phone Service,DSL,No,No,Yes,No,No,No,2,5.0,2,2024-08-02,,0
CUST_000070,Female,20,Urban,27,One Year,62.49,1687.23,Mailed Check,Yes,No,No Phone Service,Fiber Optic,No,No,No,No,No,No,2,5.6,1,2022-08-13,,0
CUST_000071,Female,27,Suburban,37,Two Year,88.01,3256.37,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1,9.0,0,2021-10-17,2024-10-13,1
CUST_000072,Male,44,Suburban,11,Month-to-Month,83.17,914.87,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,2,9.7,0,2023-12-06,2024-10-16,1
CUST_000073,Male,40,Suburban,12,Month-to-Month,86.45,1037.4,Electronic Check,No,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,3,2.5,1,2023-11-06,,0
CUST_000074,Female,33,Urban,12,Two Year,75.92,911.04,Credit Card (Automatic),No,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,3,6.6,0,2023-11-06,,0
CUST_000075,Female,34,Suburban,27,Month-to-Month,83.78,2262.06,Bank Transfer (Automatic),Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,1,6.6,0,2022-08-13,,0
CUST_000076,Female,52,Suburban,35,One Year,75.82,2653.7,Electronic Check,Yes,Yes,No,DSL,No,Yes,No,No,Yes,Yes,1,7.0,1,2021-12-16,,0
CUST_000077,Female,34,Urban,21,Month-to-Month,79.45,1668.45,Bank Transfer (Automatic),Yes,Yes,No,DSL,No,Yes,No,Yes,No,Yes,1,,0,2023-02-09,,0
CUST_000078,Male,40,Suburban,44,One Year,89.28,3928.32,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,1,7.9,0,2021-03-21,,0
CUST_000079,Male,74,Urban,32,Two Year,54.61,1747.52,Credit Card (Automatic),No,No,No Phone Service,DSL,No,No,Yes,No,No,No,3,8.8,0,2022-03-16,,0
CUST_000080,Male,20,Suburban,32,Month-to-Month,88.31,2825.92,Mailed Check,No,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,No,1,8.1,0,2022-03-16,2024-10-15,1
CUST_000081,Female,18,Rural,30,Month-to-Month,91.5,2745.0,Credit Card (Automatic),Yes,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,0,1.9,2,2022-05-15,,0
CUST_000082,Female,53,Urban,43,Month-to-Month,67.69,2910.67,Credit Card (Automatic),No,Yes,Yes,DSL,No,No,No,Yes,Yes,No,1,,0,2021-04-20,,0
CUST_000083,Male,31,Rural,13,Two Year,75.94,987.22,Credit Card (Automatic),Yes,Yes,No,DSL,No,No,Yes,No,Yes,Yes,1,5.7,1,2023-10-07,,0
CUST_000084,Male,37,Suburban,19,One Year,73.61,1398.59,Electronic Check,No,Yes,Yes,DSL,No,No,No,No,Yes,Yes,3,5.8,1,2023-04-10,,0
CUST_000085,Male,30,Urban,22,Month-to-Month,95.34,2097.48,Credit Card (Automatic),No,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,3,6.9,1,2023-01-10,,0
CUST_000086, Male,38,Suburban,18,Month-to-Month,94.33,1697.94,Electronic Check,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,1,3.6,1,2023-05-10,2024-10-16,1
CUST_000087,Female,65,Suburban,21,Two Year,67.21,1411.41,Mailed Check,Yes,Yes,No,DSL,Yes,Yes,No,No,No,Yes,2,10.0,1,2023-02-09,,0
CUST_000088,Female,54,Urban,13,Two Year,73.69,957.97,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,2,10.0,1,2023-10-07,,0
CUST_000089,Female,54,Urban,4,Month-to-Month,48.42,193.68,Bank Transfer (Automatic),Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,,2,2024-07-03,,0
CUST_000090,Male,20,Urban,12,Month-to-Month,70.7,848.4,Bank Transfer (Automatic),Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,1,5.8,1,2023-11-06,,0
CUST_000091,Male,24,Urban,49,One Year,45.87,2247.63,Bank Transfer (Automatic),No,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,8.5,1,2020-10-22,,0
CUST_000092,Female,18,Urban,37,Month-to-Month,77.34,2861.58,Credit Card (Automatic),Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,No,2,5.4,1,2021-10-17,,0
CUST_000093,Female,29,Urban,12,Two Year,66.27,795.24,Mailed Check,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,1,9.3,1,2023-11-06,,0
CUST_000094,Female,56,Urban,12,Month-to-Month,71.77,861.24,Mailed Check,Yes,Yes,No,DSL,No,Yes,No,No,Yes,No,0,10.0,1,2023-11-06,,0
CUST_000095,Female,49,Rural,44,One Year,33.73,1484.12,Bank Transfer (Automatic),No,No,No Phone Service,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,6.5,3,2021-03-21,,0
CUST_000096,Female,38,Urban,21,Month-to-Month,64.57,1355.97,Bank Transfer (Automatic),Yes,Yes,No,DSL,No,Yes,No,No,No,No,2,8.1,0,2023-02-09,2024-10-09,1
CUST_000097,Female,41,Suburban,31,Two Year,82.52,2558.12,Mailed Check,No,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,2,8.9,0,2022-04-15,,0
CUST_000098,Male,31,Suburban,30,Month-to-Month,87.32,2619.6,Credit Card (Automatic),No,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,2,5.8,0,2022-05-15,2024-10-15,1
CUST_000099,Male,45,Suburban,26,Month-to-Month,66.55,1730.3,Electronic Check,No,Yes,Yes,Fiber Optic,No,No,No,No,No,No,4,5.9,2,2022-09-12,,0
CUST_000100,Male,53,Urban,37,Month-to-Month,71.88,2659.56,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,No,3,5.9,0,2021-10-17,,0
CUST_000101,Male,18,Rural,46,Two Year,86.04,3957.84,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,2,7.8,0,2021-01-20,2024-10-16,1
CUST_000102,Female,46,Suburban,1,Month-to-Month,39.53,,Mailed Check,No,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,6.1,0,2024-10-01,2024-10-27,1
CUST_000103,Male,55,Rural,40,Month-to-Month,118.08,4723.2,Credit Card (Automatic),No,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,2,5.8,1,2021-07-19,,0
CUST_000104,Female,35,Urban,43,Month-to-Month,96.49,4149.07,Electronic Check,No,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,4,10.0,1,2021-04-20,2024-10-27,1
CUST_000105,Female,52,Urban,62,Month-to-Month,98.56,6110.72,Credit Card (Automatic),Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,3,6.5,3,2019-09-28,,0
CUST_000106,Male,84,Suburban,52,Month-to-Month,49.64,2581.28,Mailed Check,Yes,No,No Phone Service,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,5.8,2,2020-07-24,,0
CUST_000107,Male,40,Urban,32,Month-to-Month,59.07,1890.24,Bank Transfer (Automatic),Yes,Yes,No,DSL,Yes,No,No,Yes,No,No,2,9.2,1,2022-03-16,,0
CUST_000108,Female,47,Suburban,47,One Year,66.29,3115.63,Bank Transfer (Automatic),No,Yes,Yes,DSL,No,No,Yes,No,No,No,0,5.7,2,2020-12-21,,0
CUST_000109,Male,30,Urban,3,One Year,91.69,275.07,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,1,7.4,1,2024-08-02,,0
CUST_000110,Male,44,Suburban,68,Two Year,74.42,5060.56,Credit Card (Automatic),Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,2,6.6,0,2019-04-01,,0
CUST_000111,Male,48,Rural,24,Two Year,57.22,1373.28,Electronic Check,Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,6.8,0,2022-11-11,,0
CUST_000112,Male,44,Suburban,1,Month-to-Month,86.83,,Bank Transfer (Automatic),No,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,0,1.7,1,2024-10-01,2024-10-25,1
CUST_000113,Female,26,Rural,56,One Year,84.5,4732.0,Credit Card (Automatic),Yes,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,1,,0,2020-03-26,,0
CUST_000114,Female,45,Suburban,33,Month-to-Month,61.59,2032.47,Electronic Check,No,Yes,Yes,DSL,Yes,No,No,Yes,No,No,0,8.2,0,2022-02-14,,0
CUST_000115,Female,63,Suburban,30,Month-to-Month,95.31,2859.3,Mailed Check,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,6,8.2,0,2022-05-15,,0
CUST_000116,Female,48,Rural,57,Month-to-Month,66.21,3773.97,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,No,No,No,3,10.0,1,2020-02-25,,0
CUST_000117,Female,56,Rural,16,Month-to-Month,96.09,1537.44,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,0,4.8,0,2023-07-09,2024-10-09,1
CUST_000118,Male,38,Suburban,28,Month-to-Month,55.17,1544.76,Electronic Check,No,Yes,No,DSL,No,No,No,Yes,No,No,2,4.6,4,2022-07-14,2024-10-27,1
CUST_000119,Female,53,Urban,12,Month-to-Month,45.48,545.76,Credit Card (Automatic),Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,8.1,1,2023-11-06,,0
CUST_000120,Female,46,Suburban,21,One Year,74.05,1555.05,Mailed Check,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,3,5.1,1,2023-02-09,,0
CUST_000121,Female,27,Urban,55,Month-to-Month,85.29,4690.95,Electronic Check,No,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,2,9.4,0,2020-04-25,,0
CUST_000122,Female,46,Urban,9,One Year,49.7,447.3,Credit Card (Automatic),Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,7.9,0,2024-02-04,,0
CUST_000123,Male,27,Suburban,4,Month-to-Month,77.28,309.12,Electronic Check,No,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,3,,0,2024-07-03,2024-10-03,1
CUST_000124,Male,32,Rural,25,Month-to-Month,77.97,1949.25,Bank Transfer (Automatic),No,Yes,No,Fiber Optic,No,No,No,No,Yes,No,0,7.0,1,2022-10-12,,0
CUST_000125,Male,44,Rural,46,Month-to-Month,52.22,2402.12,Mailed Check,Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,6.2,0,2021-01-20,,0
CUST_000126,Male,46,Urban,56,Month-to-Month,68.74,3849.44,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,0,8.0,0,2020-03-26,,0
CUST_000127,Female,24,Urban,4,Month-to-Month,45.76,183.04,Electronic Check,No,Yes,No,DSL,No,No,No,Yes,No,No,3,8.2,0,2024-07-03,2024-10-08,1
CUST_000128,Female,57,Rural,58,One Year,70.82,4107.56,Bank Transfer (Automatic),Yes,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,0,7.6,2,2020-01-26,,0
CUST_000129,Male,50,Urban,39,One Year,93.18,3634.02,Credit Card (Automatic),Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,1,6.3,1,2021-08-18,,0
CUST_000130,Female,31,Suburban,46,Month-to-Month,38.47,1769.62,Electronic Check,No,No,No Phone Service,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,3.1,0,2021-01-20,2024-10-05,1
CUST_000131,Male,18,Urban,27,Month-to-Month,49.2,1328.4,Electronic Check,Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,5.7,0,2022-08-13,2024-10-20,1
CUST_000132,Male,39,Urban,35,Two Year,59.26,2074.1,Credit Card (Automatic),Yes,Yes,No,DSL,No,Yes,No,No,No,Yes,3,6.1,2,2021-12-16,,0
CUST_000133,Male,35,Rural,38,Month-to-Month,49.94,1897.72,Electronic Check,No,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,7.8,2,2021-09-17,,0
CUST_000134,Male,43,Urban,27,Month-to-Month,78.94,2131.38,Electronic Check,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,0,10.0,2,2022-08-13,,0
CUST_000135,Female,36,Urban,1,Month-to-Month,95.52,,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,2,3.8,2,2024-10-01,2024-10-10,1
CUST_000136,Male,18,Urban,50,One Year,47.93,2396.5,Electronic Check,Yes,Yes,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,5.6,0,2020-09-22,,0
CUST_000137,Female,36,Rural,19,One Year,48.13,914.47,Mailed Check,Yes,Yes,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,5.3,4,2023-04-10,,0
